0	0	0	0	0	0
256	0	0	260	0	0
512	0	0	507	0	0
768	0	0	759	0	0
1024	0	0	985	0	0
1280	0	0	1211	0	0
1536	0	0	1450	0	0
1792	0	0	1677	0	0
2048	0	0	1908	0	0
2303	0	0	2140	0	0
2559	0	0	2360	1	0
2815	0	0	2544	0	0
3071	0	0	2728	0	0
3327	0	0	2920	0	0
3583	0	0	3096	0	0
3839	0	0	3266	0	0
4095	0	0	3447	0	0
0	256	0	0	246	0
256	256	0	263	250	0
512	256	0	511	252	0
768	256	0	763	254	0
1024	256	0	991	256	0
1280	256	0	1216	257	0
1536	256	0	1455	259	0
1792	256	0	1684	260	0
2048	256	0	1911	261	0
2303	256	0	2149	263	0
2559	256	0	2367	264	0
2815	256	0	2552	265	0
3071	256	0	2734	266	0
3327	256	0	2922	268	0
3583	256	0	3100	270	0
3839	256	0	3269	271	0
4095	256	0	3455	272	0
0	512	0	0	483	0
256	512	0	264	490	0
512	512	0	514	493	0
768	512	0	767	496	0
1024	512	0	995	499	0
1280	512	0	1224	503	0
1536	512	0	1463	505	0
1792	512	0	1692	508	0
2048	512	0	1920	511	0
2303	512	0	2161	514	0
2559	512	0	2387	517	0
2815	512	0	2565	518	0
3071	512	0	2750	520	0
3327	512	0	2937	524	0
3583	512	0	3111	526	0
3839	512	0	3287	535	0
4095	512	0	3470	531	0
0	768	0	0	719	0
256	768	0	266	730	0
512	768	0	516	734	0
768	768	0	770	737	0
1024	768	0	998	742	0
1280	768	0	1228	746	0
1536	768	0	1472	750	0
1792	768	0	1700	752	0
2048	768	0	1926	755	0
2303	768	0	2165	760	0
2559	768	0	2390	763	0
2815	768	0	2577	767	0
3071	768	0	2768	771	0
3327	768	0	2952	775	0
3583	768	0	3129	780	0
3839	768	0	3298	784	0
4095	768	0	3490	787	0
0	1024	0	0	937	0
256	1024	0	267	954	0
512	1024	0	520	959	0
768	1024	0	775	964	0
1024	1024	0	1003	967	0
1280	1024	0	1234	972	0
1536	1024	0	1477	978	0
1792	1024	0	1706	980	0
2048	1024	0	1934	986	0
2303	1024	0	2173	991	0
2559	1024	0	2398	995	0
2815	1024	0	2586	1000	0
3071	1024	0	2777	1005	0
3327	1024	0	2962	1010	0
3583	1024	0	3142	1018	0
3839	1024	0	3310	1022	0
4095	1024	0	3499	1027	0
0	1280	0	0	1152	0
256	1280	0	268	1170	0
512	1280	0	522	1178	0
768	1280	0	777	1182	0
1024	1280	0	1008	1188	0
1280	1280	0	1237	1192	0
1536	1280	0	1482	1199	0
1792	1280	0	1716	1206	0
2048	1280	0	1946	1212	0
2303	1280	0	2186	1218	0
2559	1280	0	2412	1224	0
2815	1280	0	2601	1230	0
3071	1280	0	2785	1234	0
3327	1280	0	2978	1243	0
3583	1280	0	3152	1248	0
3839	1280	0	3327	1255	0
4095	1280	0	3513	1260	0
0	1536	0	0	1365	0
256	1536	0	270	1384	0
512	1536	0	525	1393	0
768	1536	0	781	1397	0
1024	1536	0	1014	1406	0
1280	1536	0	1245	1411	0
1536	1536	0	1489	1418	0
1792	1536	0	1722	1424	0
2048	1536	0	1955	1431	0
2303	1536	0	2194	1440	0
2559	1536	0	2422	1446	0
2815	1536	0	2610	1452	0
3071	1536	0	2797	1459	0
3327	1536	0	2993	1469	0
3583	1536	0	3169	1476	0
3839	1536	0	3345	1484	0
4095	1536	0	3530	1490	0
0	1792	0	0	1576	0
256	1792	0	272	1598	0
512	1792	0	527	1605	0
768	1792	0	784	1609	1
1024	1792	0	1019	1620	0
1280	1792	0	1253	1629	0
1536	1792	0	1495	1634	0
1792	1792	0	1731	1642	0
2048	1792	0	1964	1651	1
2303	1792	0	2204	1659	0
2559	1792	0	2433	1667	1
2815	1792	0	2624	1674	1
3071	1792	0	2815	1682	0
3327	1792	0	3005	1690	0
3583	1792	0	3185	1699	0
3839	1792	0	3359	1708	1
4095	1792	0	3548	1716	0
0	2048	0	0	1778	0
256	2048	0	273	1803	1
512	2048	0	530	1810	0
768	2048	0	788	1816	0
1024	2048	0	1024	1827	0
1280	2048	0	1261	1839	0
1536	2048	0	1504	1843	1
1792	2048	0	1742	1857	0
2048	2048	0	1977	1867	0
2303	2048	0	2217	1873	0
